Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
Vania Mania Kids,22700000,10115316784,People & Blogs,Vania Mania Kids,985,United States,US,Education,438,87,18,155215000,38800.0,620900.0,465600.0,7500000.0,300000,2015,Sep,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Like Nastya PRT,22700000,11568118121,Entertainment,Like Nastya PRT,654,Unknown,Unknown,Entertainment,344,0,82,96613000,24200.0,386500.0,289800.0,4600000.0,100000,2019,Apr,9.0,0.0,0,0.0,0,,
Sun TV,22600000,20847038152,People & Blogs,Sun TV,60964,India,IN,Entertainment,109,63,82,982238000,245600.0,3900000.0,2900000.0,47100000.0,600000,2016,Feb,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Heroindori,22600000,9223534599,Comedy,Heroindori,495,India,IN,Entertainment,508,62,81,399152000,99800.0,1600000.0,1200000.0,19200000.0,1400000,2020,Jun,29.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
The Chainsmokers,22600000,14231943358,Music,The Chainsmokers,180,United States,US,Music,246,88,84,81660000,20400.0,326600.0,245000.0,3900000.0,100000,2012,Sep,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
mmoshaya,22600000,17507060680,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,156,1,83,73829000,18500.0,295300.0,221500.0,3500000.0,100000,2010,Dec,11.0,68.0,34268528,5.93,28807838,23.885942,45.079162
Sia,22600000,13405849040,Music,Sia,171,United States,US,Music,273,88,84,95253000,23800.0,381000.0,285800.0,4600000.0,0,2007,Nov,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
LeoNata Family,22600000,27084848152,People & Blogs,LeoNata Family,2321,United States,US,People,57,87,11,1174000000,293500.0,4700000.0,3500000.0,56300000.0,1300000,2021,Sep,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Goldmines Cineplex,22500000,2431154438,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,3793,64,23,48740000,12200.0,195000.0,146200.0,2300000.0,200000,2015,Sep,12.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Vlad and Niki Arabic,22500000,10613701948,Unknown,Vlad and Niki Arabic,526,United States,US,Entertainment,399,89,84,65066000,16300.0,260300.0,195200.0,3100000.0,100000,2018,Nov,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,261,90,21,175094000,43800.0,700400.0,525300.0,8400000.0,200000,2009,Nov,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Paulo Londra,22400000,8040036209,Music,Paulo Londra,58,Argentina,AR,Music,648,6,85,72242000,18100.0,289000.0,216700.0,3500000.0,0,2016,Aug,8.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Smile Family,22300000,8663830163,People & Blogs,SMILE Family,34,France,FR,Music,3805801,3046,4509,735,0.18,3.0,2.0,35.0,10,2019,Nov,3.0,65.6,67059887,8.43,54123364,46.227638,2.213749
FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,77,91,22,132110000,33000.0,528400.0,396300.0,6300000.0,100000,2013,May,24.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Kinder Spielzeug Kanal Kidibli,22200000,11136266461,Entertainment,Kinder Spielzeug Kanal Kidibli,999,United States,US,Entertainment,370,92,86,139333000,34800.0,557300.0,418000.0,6700000.0,200000,2015,Sep,25.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Charlie Puth,22000000,9924807127,Music,Charlie Puth,157,United States,US,Music,449,94,86,111500000,27900.0,446000.0,334500.0,5400000.0,100000,2009,Sep,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Vlad and Niki ESP,22000000,8594440895,Unknown,Vlad and Niki ESP,515,United States,US,Entertainment,591,93,87,183871000,46000.0,735500.0,551600.0,8800000.0,200000,2018,Oct,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Sagawa,22000000,18347969186,Entertainment,Sagawa ,6274,Japan,JP,Entertainment,144,3,88,711254000,177800.0,2800000.0,2100000.0,34100000.0,800000,2021,Feb,13.0,63.2,126226568,2.29,115782416,36.204824,138.252924
Ben Azelart,21900000,4454917643,Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620,94,88,184946000,46200.0,739800.0,554800.0,8900000.0,500000,2014,Jun,5.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Zach Choi ASMR,21900000,5918314128,People & Blogs,Zach Choi ASMR,946,United States,US,People,1069,94,12,234222000,58600.0,936900.0,702700.0,11200000.0,400000,2014,Jul,5.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Topper Guild,21900000,15552070846,Comedy,Topper Guild,816,United States,US,Comedy,204,91,16,687028000,171800.0,2700000.0,2100000.0,33000000.0,1900000,2014,Jul,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Disney Latinoam,21900000,20657571751,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277,2973,4085,4719,1.0,19.0,14.0,227.0,0,2008,Apr,7.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Stokes Twins,21800000,4469711607,People & Blogs,Stokes Twins,257,United States,US,People,1610,95,13,197953000,49500.0,791800.0,593900.0,9500000.0,600000,2008,Apr,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
National Geographic,21800000,5614621131,Science & Technology,National Geographic,10162,United States,US,Entertainment,1158,95,89,45812000,11500.0,183200.0,137400.0,2200000.0,100000,2006,May,7.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,368,14,87,128047000,32000.0,512200.0,384100.0,6100000.0,100000,2011,Feb,5.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322,14,87,51134000,12800.0,204500.0,153400.0,2500000.0,0,2010,Dec,4.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Rotana,21800000,19329351143,Music,rotana5018,135,Unknown,Unknown,Music,926975,0,2709,10571,3.0,42.0,32.0,507.0,100,2011,Oct,27.0,0.0,0,0.0,0,,
Netflix India,21800000,7780934187,People & Blogs,NETFLIX INDIA,1,Unknown,Unknown,People,4052308,0,7665,408,0.0,0.0,0.0,0.0,0,2017,Sep,24.0,0.0,0,0.0,0,,
Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,Sourav Joshi Vlogs,1390,Unknown,Unknown,People,498,0,13,265336000,66300.0,1100000.0,796000.0,12700000.0,400000,2019,Feb,19.0,0.0,0,0.0,0,,
ZAMZAM ELECTRONICS TRADING,21700000,8507818877,Unknown,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,608,4,14,1598000000,399600.0,6400000.0,4800000.0,76700000.0,3400000,2020,Dec,19.0,36.8,9770529,2.35,8479744,23.424076,53.847818
DUDU e CAROL,21600000,9597894786,Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,481,15,90,193174000,48300.0,772700.0,579500.0,9300000.0,300000,2013,Mar,2.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Village Cooking Channel,21600000,5863377051,Howto & Style,Village Cooking Channel,219,India,IN,Howto,1082,66,9,194604000,48700.0,778400.0,583800.0,9300000.0,400000,2018,Apr,25.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Eva Bravo Play,21600000,9346383505,Entertainment,Eva Bravo Play,228,United States,US,Entertainment,507,96,90,63919000,16000.0,255700.0,191800.0,3100000.0,0,2019,May,7.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tekashi 6ix9ine,21500000,5890180734,People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,1081,96,88,113542000,28400.0,454200.0,340600.0,5400000.0,200000,2018,Apr,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tlnovelas,21500000,15013096899,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,1936958,2063,2940,15459,4.0,62.0,46.0,742.0,0,2014,Jan,2.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
SMOL,21500000,22065582014,People & Blogs,Claudio,6,Unknown,Unknown,Music,4057657,0,5782,3,0.0,0.01,0.01,0.14,0,2006,Apr,2.0,0.0,0,0.0,0,,
invictor,21500000,8409641722,Gaming,INVICTOR,17,Chile,CL,People,4038708,2889,7518,49,0.01,0.2,0.15,2.0,4,2016,Jul,26.0,88.5,18952038,7.09,16610135,-35.675147,-71.542969
YOLO,21400000,1573058816,Comedy,YOLO,0,Germany,DE,Unknown,4057944,3810,0,0,0.0,0.0,0.0,0.0,5,2013,Jun,11.0,70.2,83132799,3.04,64324835,51.165691,10.451526
